Step # 1 | id:red_0 HP:20 node:1 dir:2 pos:(11, 0)| id:red_1 HP:20 node:10 dir:1 pos:(11, 6)| id:blue_2 HP:19 node:22 dir:4 pos:(14, 10) | Actions:[[0, 0], [0, 0]] | Step rewards:[0, 4]
Step # 2 | id:red_0 HP:20 node:1 dir:3 pos:(11, 0)| id:red_1 HP:20 node:11 dir:1 pos:(12, 6)| id:blue_2 HP:18 node:21 dir:4 pos:(14, 9) | Actions:[[0, 2], [1, 0]] | Step rewards:[0, 4]
Step # 3 | id:red_0 HP:20 node:1 dir:3 pos:(11, 0)| id:red_1 HP:20 node:15 dir:1 pos:(13, 6)| id:blue_2 HP:18 node:27 dir:4 pos:(14, 8) | Actions:[[0, 0], [1, 0]] | Step rewards:[0, 0]
Step # 4 | id:red_0 HP:20 node:1 dir:3 pos:(11, 0)| id:red_1 HP:20 node:21 dir:4 pos:(14, 9)| id:blue_2 HP:17 node:20 dir:4 pos:(14, 7) | Actions:[[0, 0], [1, 2]] | Step rewards:[0, 4]
Step # 5 | id:red_0 HP:20 node:1 dir:3 pos:(11, 0)| id:red_1 HP:20 node:27 dir:2 pos:(14, 8)| id:blue_2 HP:17 node:14 dir:2 pos:(13, 5) | Actions:[[0, 0], [4, 2]] | Step rewards:[0, 0]
Step # 6 | id:red_0 HP:20 node:1 dir:3 pos:(11, 0)| id:red_1 HP:20 node:20 dir:2 pos:(14, 7)| id:blue_2 HP:16 node:8 dir:2 pos:(12, 5) | Actions:[[0, 0], [4, 2]] | Step rewards:[0, 4]
Step # 7 | id:red_0 HP:20 node:1 dir:3 pos:(11, 0)| id:red_1 HP:20 node:14 dir:2 pos:(13, 5)| id:blue_2 HP:14 node:7 dir:2 pos:(11, 4) | Actions:[[0, 0], [2, 0]] | Step rewards:[4, 4]
Step # 8 | id:red_0 HP:19 node:1 dir:3 pos:(11, 0)| id:red_1 HP:20 node:8 dir:2 pos:(12, 5)| id:blue_2 HP:13 node:6 dir:4 pos:(11, 3) | Actions:[[0, 0], [2, 0]] | Step rewards:[1, 0]
Step # 9 | id:red_0 HP:18 node:1 dir:3 pos:(11, 0)| id:red_1 HP:20 node:7 dir:2 pos:(11, 4)| id:blue_2 HP:12 node:4 dir:4 pos:(11, 2) | Actions:[[0, 0], [2, 0]] | Step rewards:[1, 0]
Step #10 | id:red_0 HP:18 node:1 dir:3 pos:(11, 0)| id:red_1 HP:20 node:6 dir:4 pos:(11, 3)| id:blue_2 HP:12 node:5 dir:1 pos:(12, 4) | Actions:[[0, 0], [4, 0]] | Step rewards:[0, 0]
Episode rewards:[28, 52]
