(11,0)	(11,1,6.45);(11,2,12.75);(11,3,19.52);(11,4,24.86);(11,5,31.67);(11,6,37.62);(12,3,4.4);(13,3,11.83);(14,3,19.6);	(11,1,6.45);(11,2,12.75);(11,3,19.52);(11,4,24.86);(11,5,31.67);(11,6,37.62);	(11,1,6.45);(11,2,12.75);(11,3,19.52);(11,4,24.86);(11,5,31.67);(11,6,37.62);(12,3,4.4);(13,3,11.83);(14,3,19.6);	(12,3,4.4);(13,3,11.83);(14,3,19.6);
(11,1)	(11,0,6.45);(11,2,6.31);(11,3,13.11);(11,4,18.44);(11,5,25.24);(11,6,31.18);(12,3,7.86);	(11,0,6.45);(11,2,6.31);(11,3,13.11);(11,4,18.44);(11,5,25.24);(11,6,31.18);	(11,2,6.31);(11,3,13.11);(11,4,18.44);(11,5,25.24);(11,6,31.18);	(11,0,6.45);(12,3,7.86);
(11,2)	(11,0,12.75);(11,1,6.31);(11,3,6.83);(11,4,12.14);(11,5,18.94);(11,6,24.88);(12,4,4.8);(13,4,10.31);(14,5,19.96);	(11,0,12.75);(11,1,6.31);(11,3,6.83);(11,4,12.14);(11,5,18.94);(11,6,24.88);	(11,3,6.83);(11,4,12.14);(11,5,18.94);(11,6,24.88);(12,4,4.8);(13,4,10.31);(14,5,19.96);	(11,0,12.75);(11,1,6.31);(12,4,4.8);(13,4,10.31);(14,5,19.96);
(11,3)	(11,0,19.52);(11,1,13.11);(11,2,6.83);(11,4,5.37);(11,5,12.16);(11,6,18.12);	(11,0,19.52);(11,1,13.11);(11,2,6.83);(11,4,5.37);(11,5,12.16);(11,6,18.12);	(11,4,5.37);(11,5,12.16);(11,6,18.12);	(11,0,19.52);(11,1,13.11);(11,2,6.83);
(11,4)	(11,0,24.86);(11,1,18.44);(11,2,12.14);(11,3,5.37);(11,5,6.81);(11,6,12.76);(12,5,4.75);(13,5,10.42);(14,7,19.4);	(11,0,24.86);(11,1,18.44);(11,2,12.14);(11,3,5.37);(11,5,6.81);(11,6,12.76);	(11,5,6.81);(11,6,12.76);(12,5,4.75);(13,5,10.42);(14,7,19.4);	(11,0,24.86);(11,1,18.44);(11,2,12.14);(11,3,5.37);(12,5,4.75);(13,5,10.42);(14,7,19.4);
(11,5)	(11,0,31.67);(11,1,25.24);(11,2,18.94);(11,3,12.16);(11,4,6.81);(11,6,5.97);(12,7,12.56);	(11,0,31.67);(11,1,25.24);(11,2,18.94);(11,3,12.16);(11,4,6.81);(11,6,5.97);	(11,6,5.97);(12,7,12.56);	(11,0,31.67);(11,1,25.24);(11,2,18.94);(11,3,12.16);(11,4,6.81);
(11,6)	(11,0,37.62);(11,1,31.18);(11,2,24.88);(11,3,18.12);(11,4,12.76);(11,5,5.97);(12,6,4.81);(12,7,7.42);(13,6,9.8);(13,7,11.53);(13,8,15.95);(14,9,19.58);(14,10,21.08);(14,11,21.14);	(11,0,37.62);(11,1,31.18);(11,2,24.88);(11,3,18.12);(11,4,12.76);(11,5,5.97);	(12,6,4.81);(12,7,7.42);(13,6,9.8);(13,7,11.53);(13,8,15.95);(14,9,19.58);(14,10,21.08);(14,11,21.14);	(11,0,37.62);(11,1,31.18);(11,2,24.88);(11,3,18.12);(11,4,12.76);(11,5,5.97);(12,6,4.81);(13,6,9.8);(14,9,19.58);(14,10,21.08);
(12,3)	(13,3,7.46);(14,3,15.25);	(11,0,4.4);(11,1,7.86);	(11,0,4.4);(11,1,7.86);(13,3,7.46);(14,3,15.25);	(11,0,4.4);(13,3,7.46);(14,3,15.25);
(12,4)	(13,4,5.52);(14,5,15.16);	(11,2,4.8);	(11,2,4.8);(13,4,5.52);(14,5,15.16);	(11,2,4.8);(13,4,5.52);(14,5,15.16);
(12,5)	(13,5,5.72);(14,7,14.71);	(11,4,4.75);	(11,4,4.75);(13,5,5.72);(14,7,14.71);	(11,4,4.75);(13,5,5.72);(14,7,14.71);
(12,6)	(12,7,5.26);(13,6,5.03);(13,7,7.71);(13,8,12.77);(14,9,14.78);(14,10,16.38);(14,11,17.23);	(11,6,4.81);(12,7,5.26);	(11,6,4.81);(12,7,5.26);(13,6,5.03);(13,7,7.71);(13,8,12.77);(14,9,14.78);(14,10,16.38);(14,11,17.23);	(11,6,4.81);(13,6,5.03);(14,9,14.78);(14,10,16.38);
(12,7)	(12,6,5.26);(13,6,6.29);(13,7,4.8);(13,8,8.56);(14,9,15.7);(14,10,15.51);(14,11,14.02);	(11,5,12.56);(11,6,7.42);(12,6,5.26);	(13,7,4.8);(13,8,8.56);(14,10,15.51);(14,11,14.02);	(11,5,12.56);(11,6,7.42);(12,6,5.26);(13,6,6.29);(13,7,4.8);(14,9,15.7);(14,10,15.51);
(13,3)	(14,3,7.81);	(11,0,11.83);(12,3,7.46);	(11,0,11.83);(12,3,7.46);(14,3,7.81);	(11,0,11.83);(12,3,7.46);(14,3,7.81);
(13,4)	(14,5,9.65);	(11,2,10.31);(12,4,5.52);	(11,2,10.31);(12,4,5.52);(14,5,9.65);	(11,2,10.31);(12,4,5.52);(14,5,9.65);
(13,5)	(14,7,9.03);	(11,4,10.42);(12,5,5.72);	(11,4,10.42);(12,5,5.72);(14,7,9.03);	(11,4,10.42);(12,5,5.72);(14,7,9.03);
(13,6)	(13,7,4.82);(13,8,10);(14,9,10);(14,10,11.38);(14,11,13.14);	(11,6,9.8);(12,6,5.03);(12,7,6.29);(13,7,4.82);	(11,6,9.8);(12,6,5.03);(12,7,6.29);(13,7,4.82);(13,8,10);(14,10,11.38);(14,11,13.14);	(11,6,9.8);(12,6,5.03);(14,9,10);(14,10,11.38);
(13,7)	(13,6,4.82);(13,8,5.3);(14,9,11.77);(14,10,10.82);(14,11,9.64);	(11,6,11.53);(12,6,7.71);(12,7,4.8);(13,6,4.82);	(12,7,4.8);(13,8,5.3);(14,10,10.82);(14,11,9.64);	(11,6,11.53);(12,6,7.71);(12,7,4.8);(13,6,4.82);(14,9,11.77);(14,10,10.82);
